Coord_X,Coord_Y,Elevation,Slope,Dist_to_Water,Landslide_Label
103.64883020734396,22.407801025898376,2162.2,10.939658,7675.690521552271,0
103.63912840227547,22.510747957458474,1436.5212,9.194802,172.22068167952926,0
103.72321071286906,22.467089834650263,1126.9977,0.92740995,3955.9112292451355,0
103.748273709296,22.6560055389006,414.43442,14.847849,1825.4177740432176,0
103.6747016875266,22.753293084170743,218.78293,14.455927,868.7572737029433,0
103.63805042393453,22.562760412408995,1248.8516,5.895491,338.8088937571698,0
103.82993056862246,22.61046095399574,118.96294,12.739196,173.4067213260102,0
103.69275782473741,22.50185463614569,759.2969,11.786538,552.9722627955438,0
103.78761991874043,22.555484058607625,504.20145,13.327265,3084.347000974188,0
103.66958129040712,22.44849470826899,1342.7463,4.1128254,4190.040749280161,0
103.83639843866813,22.593752289711116,171.24892,14.048427,857.5634660985093,0
103.6482912181735,22.61369488901857,1710.242,13.079756,1185.3472785740234,0
103.5701377884551,22.709904455947772,467.43704,6.223344,13.221857438163674,0
103.67631865503802,22.67433117069664,1309.1237,1.0050782,6091.645314762774,0
103.9129349008751,22.50832250619135,86.76466,0.92740995,199.99894257522104,0
103.56879031552891,22.622049221160882,1902.0505,8.89663,1178.999486896676,0
103.65987948533864,22.589170881762108,1149.5298,13.11825,74.4116235321116,0
103.7280616154033,22.48757142312819,990.14594,12.695718,3752.308581571636,0
103.68305601966892,22.51425138706654,836.1195,7.98009,1141.4866823336959,0
103.7566280414383,22.680799040742297,155.04706,8.972969,670.8405125791295,0
103.59250583902967,22.54605174812437,2009.7644,13.34533,2705.068753127007,0
103.74099735549463,22.4921528310772,886.54095,12.200386,4597.246276979027,0
103.61244843833713,22.6454952500764,1605.2007,12.8061075,2744.9657980965876,0
103.9016161282952,22.524222686720265,93.877686,1.3666443,1206.0586386549735,0
103.63670295100835,22.607496513558146,1634.4076,9.682775,1085.8430569717189,0
103.85391558670845,22.57515716332984,104.38713,7.041439,1302.3528513024696,0
103.63050457554793,22.755449040852632,495.3284,7.526736,2164.7786951652506,0
103.70138165146496,22.66705481689527,641.13086,9.660178,5264.654474828619,0
103.62026378130896,22.438253914030028,2576.8455,9.674918,6131.187444686847,0
103.6693117958219,22.59159633302923,1067.2843,6.112884,836.1544413988523,0
103.66499988245812,22.547129726465315,1262.2247,13.911861,1980.0891948966218,0
103.581456561035,22.68268550283895,1567.2843,14.823667,1087.8637160663477,0
103.61595186794518,22.640105358371684,1696.1866,3.1510515,2670.612276181183,0
103.82481017150297,22.56815030411371,428.38416,5.547545,3672.1451040460547,0
103.68090006298704,22.518563300430312,824.0868,11.378307,1657.9358894230431,0
103.68790692220317,22.513981892481304,746.1146,10.286179,852.4707536766178,0
103.83235601988959,22.591865827614466,217.61072,4.417038,1322.5889456935138,0
103.71701233740863,22.472479726354983,1151.6451,5.5122056,4469.143307534576,0
103.66419139870241,22.541200845590126,1049.6931,13.345289,2143.3955419825,0
103.91050944960799,22.501585141560454,101.600624,11.786522,71.63235406028812,0
103.64505728315066,22.664090376457676,1951.5651,13.68246,6667.474464023657,0
103.6738932037709,22.527995610913568,856.48566,12.8656845,1861.2489023835176,0
103.63346901598553,22.46547286713885,1930.9995,11.428248,2905.889040099054,0
